"","var","n_M_RW","n_E_RW","n_ANY_RW","n_M_TBL","n_E_TBL","n_ANY_TBL","n_M_SP","n_E_SP","n_ANY_SP","n_M_ALL","n_E_ALL","n_ANY_ALL"
"1","All",304764,304628,309552,291506,240982,304531,302855,302782,307898,306314,306583,310003
"2","Boys",152430,152358,154784,145728,120612,152197,151407,151337,153938,153166,153295,155015
"3","Girls",152334,152270,154768,145778,120370,152334,151448,151445,153960,153148,153288,154988
"4","Ability: Top",96379,95390,96708,92174,76638,95491,95766,94905,96222,96570,95867,96736
"5","Ability: Middle",99500,98623,99899,95091,78778,98520,98745,97985,99362,99760,99013,99939
"6","Ability: Low",95114,94111,95995,91357,72454,94606,94646,93553,95517,95945,94954,96189
"7","Age: 8",80738,81206,81968,69332,77977,78885,80512,81189,81868,81005,81563,82066
"8","Age: 9",81643,82230,82967,81071,69435,82431,81447,82168,82837,81975,82597,83081
"9","Age: 10",81794,82327,83175,81210,58099,82445,81008,81595,82453,82341,82771,83309
"10","Age: 11",60589,58865,61442,59893,35471,60770,59888,57830,60740,60993,59652,61547
