"","var","n_M_RW","n_E_RW","n_ANY_RW","n_M_TBL","n_E_TBL","n_ANY_TBL","n_M_SP","n_E_SP","n_ANY_SP","n_M_ALL","n_E_ALL","n_ANY_ALL"
"1","All",109589,70220,110744,103802,59788,106685,109854,61995,110720,110491,73232,111383
"2","Boys",55071,35150,55645,52113,30002,53587,55161,31088,55599,55524,36706,55964
"3","Girls",54518,35070,55099,51689,29786,53098,54693,30907,55121,54967,36526,55419
"4","Ability: Top",35267,22865,35353,33419,19447,34150,35325,20393,35375,35427,23602,35463
"5","Ability: Middle",36336,22893,36459,34485,19525,35199,36479,20344,36516,36591,23832,36632
"6","Ability: Low",33258,20794,33487,31547,17683,32270,33338,18127,33488,33641,21956,33720
"7","Age: 8",27336,17357,27621,21967,14187,24133,27419,15537,27647,27528,18172,27763
"8","Age: 9",27451,17389,27732,27290,14970,27531,27550,15490,27774,27684,18218,27894
"9","Age: 10",26975,17235,27275,26891,14679,27105,27096,15349,27300,27248,18024,27459
"10","Age: 11",27827,18239,28116,27654,15952,27916,27789,15619,27999,28031,18818,28267
